venda_id,data,cliente_id,produto_id,quantidade,valor_total,custo_total,lucro,forma_pagamento,canal_venda
56,2026-03-19,105,2,3,26.7,20.04,6.66,Débito,App
57,2025-12-27,249,29,1,6.9,4.49,2.41,Crédito,Delivery
58,2026-03-06,160,6,5,39.0,32.0,7.0,Crédito,Marketplace
59,2025-09-29,59,8,4,38.0,27.36,10.64,Crédito,Delivery
60,2026-01-11,150,30,4,35.6,24.92,10.68,Pix,Marketplace
61,2026-04-07,242,16,1,18.9,13.8,5.1,Dinheiro,Delivery
62,2025-12-13,261,7,2,11.2,8.96,2.24,Crédito,App
63,2026-03-22,213,26,3,29.7,20.79,8.91,Pix,Loja Física
64,2025-11-17,153,24,6,137.4,96.18,41.22,Dinheiro,Delivery
65,2025-12-29,248,18,4,71.6,44.4,27.2,Pix,Marketplace
66,2025-12-31,165,30,2,17.8,12.46,5.34,Débito,Marketplace
67,2025-11-04,211,28,1,13.9,10.56,3.34,Pix,Marketplace
68,2026-03-05,196,30,4,35.6,24.92,10.68,Débito,Marketplace
69,2025-09-15,258,5,5,24.5,19.1,5.4,Pix,Loja Física
70,2026-04-17,226,28,1,13.9,10.56,3.34,Dinheiro,Loja Física
71,2026-03-09,210,5,2,9.8,7.64,2.16,Crédito,Marketplace
72,2026-03-25,174,9,5,64.5,41.9,22.6,Dinheiro,Loja Física
73,2026-04-12,274,11,3,13.5,9.18,4.32,Pix,Marketplace
74,2026-04-17,19,18,3,53.7,33.3,20.4,Crédito,Delivery
75,2026-02-14,148,22,1,42.9,32.17,10.73,Crédito,Marketplace
76,2025-10-01,52,25,4,75.6,54.44,21.16,Débito,App
77,2026-04-25,24,1,2,57.8,45.08,12.72,Crédito,App
78,2025-12-06,221,12,2,5.6,3.64,1.96,Débito,Marketplace
79,2026-01-28,93,22,1,42.9,32.17,10.73,Débito,Loja Física
80,2026-02-09,196,28,4,55.6,42.24,13.36,Débito,Marketplace
81,2026-04-27,74,19,1,6.5,4.23,2.27,Dinheiro,App
82,2026-01-01,5,9,3,38.7,25.14,13.56,Pix,Delivery
83,2025-09-24,177,15,5,21.0,15.1,5.9,Pix,Marketplace
84,2026-03-01,234,9,3,38.7,25.14,13.56,Débito,Marketplace
85,2026-04-12,55,16,1,18.9,13.8,5.1,Dinheiro,App
86,2026-01-31,152,10,1,3.2,2.4,0.8,Dinheiro,App
87,2025-09-08,26,19,5,32.5,21.15,11.35,Dinheiro,App
88,2026-03-23,118,26,5,49.5,34.65,14.85,Pix,Delivery
89,2026-02-15,129,7,1,5.6,4.48,1.12,Crédito,Loja Física
90,2025-11-24,226,26,1,9.9,6.93,2.97,Pix,Delivery
91,2025-09-29,152,30,3,26.7,18.69,8.01,Dinheiro,Delivery
92,2025-10-27,277,5,3,14.7,11.46,3.24,Pix,Delivery
93,2025-11-10,247,30,4,35.6,24.92,10.68,Pix,Loja Física
94,2026-01-03,73,3,1,5.2,4.26,0.94,Dinheiro,App
95,2025-09-29,203,26,1,9.9,6.93,2.97,Pix,Loja Física
96,2025-12-31,135,12,6,16.8,10.92,5.88,Dinheiro,App
97,2025-10-03,120,22,4,171.6,128.68,42.92,Crédito,App
98,2026-04-28,114,20,1,3.2,2.18,1.02,Dinheiro,App
99,2026-02-19,60,14,1,8.5,5.69,2.81,Crédito,Loja Física
100,2025-11-22,60,16,1,18.9,13.8,5.1,Débito,Delivery
101,2025-12-14,190,15,6,25.2,18.12,7.08,Dinheiro,Delivery
102,2026-04-20,51,14,3,25.5,17.07,8.43,Dinheiro,App
103,2025-09-14,190,23,2,49.8,35.86,13.94,Dinheiro,Marketplace
104,2025-11-05,186,28,1,13.9,10.56,3.34,Pix,App
105,2025-09-21,142,13,2,29.8,20.86,8.94,Crédito,Marketplace
106,2025-09-29,109,22,5,214.5,160.85,53.65,Crédito,Loja Física
107,2026-03-26,125,11,2,9.0,6.12,2.88,Débito,Loja Física
108,2026-04-06,284,25,1,18.9,13.61,5.29,Débito,Delivery
109,2025-11-29,76,25,6,113.4,81.66,31.74,Crédito,App
110,2026-04-13,67,5,3,14.7,11.46,3.24,Pix,Delivery
111,2025-10-04,14,22,2,85.8,64.34,21.46,Crédito,App
112,2026-03-27,122,26,5,49.5,34.65,14.85,Pix,Loja Física
113,2025-10-20,27,9,2,25.8,16.76,9.04,Dinheiro,Loja Física
114,2026-03-15,244,3,4,20.8,17.04,3.76,Pix,Loja Física
115,2025-12-30,114,17,6,101.4,60.84,40.56,Crédito,App
116,2026-01-01,16,21,1,16.9,13.18,3.72,Dinheiro,Marketplace
117,2025-12-24,56,22,5,214.5,160.85,53.65,Dinheiro,Loja Física
118,2026-04-24,165,3,3,15.6,12.78,2.82,Débito,Loja Física
119,2025-10-08,300,9,5,64.5,41.9,22.6,Pix,Marketplace
120,2026-02-05,151,17,3,50.7,30.42,20.28,Dinheiro,Loja Física
121,2026-03-28,59,23,5,124.5,89.65,34.85,Débito,Marketplace
122,2025-12-30,117,29,5,34.5,22.45,12.05,Pix,Marketplace
123,2025-12-17,49,14,4,34.0,22.76,11.24,Dinheiro,App
124,2026-02-23,192,9,1,12.9,8.38,4.52,Dinheiro,Loja Física
125,2025-09-29,44,27,1,12.5,8.5,4.0,Dinheiro,Loja Física
126,2026-03-15,191,24,2,45.8,32.06,13.74,Crédito,App
127,2026-02-24,211,4,2,37.8,26.46,11.34,Dinheiro,Loja Física
128,2025-11-18,160,20,4,12.8,8.72,4.08,Crédito,Delivery
129,2025-10-15,247,22,2,85.8,64.34,21.46,Crédito,App
130,2026-04-10,189,18,1,17.9,11.1,6.8,Pix,Delivery
131,2026-03-31,288,14,5,42.5,28.45,14.05,Crédito,App
132,2025-09-13,140,6,3,23.4,19.2,4.2,Pix,App
133,2025-09-07,74,6,5,39.0,32.0,7.0,Dinheiro,Loja Física
134,2025-10-12,16,24,1,22.9,16.03,6.87,Débito,Marketplace
135,2025-12-22,175,15,2,8.4,6.04,2.36,Pix,App
136,2026-03-09,291,11,5,22.5,15.3,7.2,Crédito,Loja Física
137,2025-10-15,26,6,1,7.8,6.4,1.4,Pix,Marketplace
138,2026-02-22,249,14,4,34.0,22.76,11.24,Dinheiro,Marketplace
139,2025-11-14,263,7,1,5.6,4.48,1.12,Pix,Marketplace
140,2025-10-04,250,10,5,16.0,12.0,4.0,Pix,Loja Física
141,2025-11-01,29,13,1,14.9,10.43,4.47,Débito,App
142,2025-10-30,71,25,3,56.7,40.83,15.87,Pix,App
143,2025-10-06,255,1,4,115.6,90.16,25.44,Débito,Delivery
144,2025-12-12,118,18,6,107.4,66.6,40.8,Pix,Loja Física
145,2025-12-16,22,28,5,69.5,52.8,16.7,Crédito,Marketplace
146,2026-04-29,161,3,3,15.6,12.78,2.82,Dinheiro,Marketplace
147,2026-03-06,214,21,3,50.7,39.54,11.16,Crédito,Marketplace
148,2025-09-11,88,11,5,22.5,15.3,7.2,Dinheiro,App
149,2025-09-28,55,14,2,17.0,11.38,5.62,Dinheiro,Marketplace
150,2026-01-18,203,3,2,10.4,8.52,1.88,Pix,Delivery
151,2025-11-30,87,25,1,18.9,13.61,5.29,Crédito,Delivery
152,2026-04-25,179,25,2,37.8,27.22,10.58,Débito,Delivery
153,2025-10-02,132,5,2,9.8,7.64,2.16,Débito,Delivery
154,2026-03-19,39,25,2,37.8,27.22,10.58,Dinheiro,Marketplace
155,2026-03-18,297,19,4,26.0,16.92,9.08,Pix,App
156,2025-10-14,35,15,4,16.8,12.08,4.72,Dinheiro,App
157,2026-03-28,29,9,3,38.7,25.14,13.56,Crédito,App
158,2026-01-02,20,15,1,4.2,3.02,1.18,Pix,App
159,2025-09-25,47,21,5,84.5,65.9,18.6,Dinheiro,Marketplace
160,2026-02-01,22,18,3,53.7,33.3,20.4,Débito,App
161,2026-02-07,257,16,1,18.9,13.8,5.1,Crédito,Marketplace
162,2025-10-02,176,26,1,9.9,6.93,2.97,Débito,Loja Física
163,2025-11-08,225,23,5,124.5,89.65,34.85,Débito,App
164,2025-12-10,145,30,5,44.5,31.15,13.35,Dinheiro,App
165,2026-02-26,27,20,2,6.4,4.36,2.04,Crédito,App
166,2025-09-30,198,18,3,53.7,33.3,20.4,Pix,Delivery
167,2025-11-30,299,3,2,10.4,8.52,1.88,Pix,App
168,2026-02-20,201,23,1,24.9,17.93,6.97,Crédito,App
169,2026-01-27,169,13,1,14.9,10.43,4.47,Crédito,Marketplace
170,2026-01-14,10,12,2,5.6,3.64,1.96,Pix,Delivery
171,2025-10-30,249,11,2,9.0,6.12,2.88,Débito,Delivery
172,2025-10-15,152,3,1,5.2,4.26,0.94,Crédito,App
173,2026-04-18,68,25,3,56.7,40.83,15.87,Dinheiro,Delivery
174,2025-10-17,85,6,4,31.2,25.6,5.6,Crédito,Marketplace
175,2025-12-08,122,22,5,214.5,160.85,53.65,Pix,Marketplace
176,2025-11-04,123,18,4,71.6,44.4,27.2,Dinheiro,Delivery
177,2025-12-09,293,22,5,214.5,160.85,53.65,Dinheiro,App
178,2026-03-24,258,13,5,74.5,52.15,22.35,Dinheiro,Delivery
179,2026-04-03,71,7,2,11.2,8.96,2.24,Crédito,Marketplace
180,2026-04-17,284,12,1,2.8,1.82,0.98,Crédito,App
181,2025-09-27,83,25,3,56.7,40.83,15.87,Dinheiro,Delivery
182,2026-04-06,47,14,1,8.5,5.69,2.81,Dinheiro,App
183,2026-05-02,213,1,1,28.9,22.54,6.36,Dinheiro,App
184,2025-11-05,42,13,4,59.6,41.72,17.88,Débito,Loja Física
185,2025-11-26,51,30,4,35.6,24.92,10.68,Débito,Delivery
186,2025-09-15,242,10,2,6.4,4.8,1.6,Dinheiro,Marketplace
187,2026-02-10,41,1,1,28.9,22.54,6.36,Pix,Delivery
188,2026-04-07,281,5,3,14.7,11.46,3.24,Dinheiro,Loja Física
189,2026-03-23,122,10,3,9.6,7.2,2.4,Crédito,Loja Física
190,2025-11-06,235,14,1,8.5,5.69,2.81,Crédito,Marketplace
191,2026-02-05,9,18,4,71.6,44.4,27.2,Débito,Delivery
192,2025-11-19,1,14,6,51.0,34.14,16.86,Pix,Delivery
193,2026-01-30,96,14,1,8.5,5.69,2.81,Pix,Loja Física
194,2026-01-18,260,18,4,71.6,44.4,27.2,Crédito,Marketplace
195,2026-04-17,23,16,3,56.7,41.4,15.3,Pix,App
196,2026-03-16,183,1,1,28.9,22.54,6.36,Pix,Delivery
197,2026-03-12,54,22,5,214.5,160.85,53.65,Pix,Delivery
198,2025-09-17,280,12,3,8.4,5.46,2.94,Débito,Marketplace
199,2026-03-03,94,16,2,37.8,27.6,10.2,Crédito,Marketplace
200,2025-09-15,104,10,1,3.2,2.4,0.8,Débito,Loja Física
201,2025-11-25,159,30,6,53.4,37.38,16.02,Dinheiro,Marketplace
202,2025-11-09,98,2,4,35.6,26.72,8.88,Pix,Loja Física
203,2026-04-15,170,21,2,33.8,26.36,7.44,Crédito,App
204,2025-12-26,205,29,5,34.5,22.45,12.05,Dinheiro,App
205,2025-10-23,255,16,3,56.7,41.4,15.3,Pix,Loja Física
206,2026-03-11,41,14,4,34.0,22.76,11.24,Débito,App
207,2025-11-27,41,4,4,75.6,52.92,22.68,Pix,App
208,2025-12-29,219,20,2,6.4,4.36,2.04,Dinheiro,App
209,2025-12-29,181,2,6,53.4,40.08,13.32,Dinheiro,App
210,2026-02-16,30,26,1,9.9,6.93,2.97,Dinheiro,App
211,2026-01-15,82,26,1,9.9,6.93,2.97,Débito,Marketplace
212,2025-09-14,35,5,2,9.8,7.64,2.16,Pix,App
213,2025-12-13,17,19,6,39.0,25.38,13.62,Débito,Marketplace
214,2025-12-09,228,12,1,2.8,1.82,0.98,Débito,App
215,2025-12-16,143,11,2,9.0,6.12,2.88,Crédito,Loja Física
216,2026-03-13,256,6,5,39.0,32.0,7.0,Dinheiro,Loja Física
217,2025-11-12,134,25,5,94.5,68.05,26.45,Débito,App
218,2026-03-02,252,30,2,17.8,12.46,5.34,Crédito,Delivery
219,2026-04-12,232,3,1,5.2,4.26,0.94,Dinheiro,Loja Física
220,2026-04-01,164,22,2,85.8,64.34,21.46,Crédito,App
221,2026-04-22,81,10,1,3.2,2.4,0.8,Pix,Delivery
222,2025-10-07,72,7,2,11.2,8.96,2.24,Dinheiro,Loja Física
223,2025-12-07,294,18,4,71.6,44.4,27.2,Dinheiro,Delivery
224,2026-02-09,45,29,1,6.9,4.49,2.41,Pix,Marketplace
225,2026-03-08,246,24,5,114.5,80.15,34.35,Dinheiro,Marketplace
226,2026-04-04,38,19,1,6.5,4.23,2.27,Pix,Loja Física
227,2025-12-30,265,15,4,16.8,12.08,4.72,Débito,Delivery
228,2026-03-21,222,5,5,24.5,19.1,5.4,Crédito,Loja Física
229,2026-01-16,156,5,1,4.9,3.82,1.08,Débito,App
230,2026-05-03,116,23,2,49.8,35.86,13.94,Pix,Loja Física
231,2025-11-09,283,7,4,22.4,17.92,4.48,Débito,App
232,2026-02-10,48,18,4,71.6,44.4,27.2,Débito,Delivery
233,2025-10-19,173,22,5,214.5,160.85,53.65,Crédito,Loja Física
234,2025-09-26,296,2,3,26.7,20.04,6.66,Débito,Marketplace
235,2026-02-11,16,21,3,50.7,39.54,11.16,Pix,App
236,2026-01-07,208,8,2,19.0,13.68,5.32,Dinheiro,Loja Física
237,2026-03-01,81,2,4,35.6,26.72,8.88,Dinheiro,Marketplace
238,2026-01-02,175,7,4,22.4,17.92,4.48,Débito,App
239,2026-04-14,164,23,2,49.8,35.86,13.94,Dinheiro,Delivery
240,2026-03-19,264,12,5,14.0,9.1,4.9,Crédito,App
241,2025-11-06,63,15,4,16.8,12.08,4.72,Dinheiro,Delivery
242,2025-10-12,26,4,3,56.7,39.69,17.01,Dinheiro,Marketplace
243,2025-11-08,82,28,4,55.6,42.24,13.36,Pix,Delivery
244,2026-03-20,256,6,5,39.0,32.0,7.0,Dinheiro,Marketplace
245,2026-04-19,255,10,1,3.2,2.4,0.8,Crédito,Marketplace
246,2026-01-13,124,15,1,4.2,3.02,1.18,Pix,Loja Física
247,2025-09-18,254,10,5,16.0,12.0,4.0,Dinheiro,App
248,2026-01-21,56,1,3,86.7,67.62,19.08,Débito,App
249,2026-03-11,207,12,3,8.4,5.46,2.94,Crédito,Marketplace
250,2025-09-19,288,19,2,13.0,8.46,4.54,Pix,App
251,2025-09-24,259,13,4,59.6,41.72,17.88,Pix,Loja Física
252,2025-10-08,202,4,3,56.7,39.69,17.01,Pix,App
253,2026-03-18,102,5,5,24.5,19.1,5.4,Dinheiro,Loja Física
254,2025-09-17,71,2,3,26.7,20.04,6.66,Dinheiro,Marketplace
255,2025-10-14,264,20,2,6.4,4.36,2.04,Pix,App
256,2025-10-17,154,13,5,74.5,52.15,22.35,Pix,Marketplace
257,2026-03-06,154,19,4,26.0,16.92,9.08,Crédito,App
258,2025-11-29,57,22,5,214.5,160.85,53.65,Pix,Loja Física
259,2026-02-05,136,16,4,75.6,55.2,20.4,Débito,Loja Física
260,2026-02-02,88,16,4,75.6,55.2,20.4,Dinheiro,Delivery
261,2026-04-04,125,22,1,42.9,32.17,10.73,Crédito,Delivery
262,2025-09-10,161,15,4,16.8,12.08,4.72,Débito,Marketplace
263,2026-03-01,211,7,5,28.0,22.4,5.6,Dinheiro,Loja Física
264,2026-03-05,266,5,2,9.8,7.64,2.16,Pix,Marketplace
265,2026-01-18,161,13,1,14.9,10.43,4.47,Dinheiro,App
266,2026-01-23,136,12,4,11.2,7.28,3.92,Dinheiro,Delivery
267,2025-11-08,286,9,4,51.6,33.52,18.08,Débito,App
268,2026-03-22,107,10,4,12.8,9.6,3.2,Pix,Marketplace
269,2025-12-04,141,18,4,71.6,44.4,27.2,Crédito,Marketplace
270,2026-04-23,177,13,1,14.9,10.43,4.47,Pix,Loja Física
271,2025-11-18,41,23,4,99.6,71.72,27.88,Dinheiro,App
272,2026-03-16,110,16,2,37.8,27.6,10.2,Pix,App
273,2025-10-11,123,4,2,37.8,26.46,11.34,Crédito,Delivery
274,2026-02-16,27,8,1,9.5,6.84,2.66,Dinheiro,App
275,2026-03-08,52,16,2,37.8,27.6,10.2,Crédito,Delivery
276,2025-12-19,244,21,5,84.5,65.9,18.6,Débito,App
277,2025-11-27,31,10,1,3.2,2.4,0.8,Débito,Loja Física
278,2026-04-27,90,30,3,26.7,18.69,8.01,Débito,Loja Física
279,2026-04-08,254,13,1,14.9,10.43,4.47,Pix,Loja Física
280,2025-09-08,291,10,5,16.0,12.0,4.0,Crédito,App
281,2025-11-17,279,15,6,25.2,18.12,7.08,Dinheiro,Delivery
282,2026-04-11,240,17,2,33.8,20.28,13.52,Débito,Loja Física
283,2025-11-29,235,6,4,31.2,25.6,5.6,Débito,Loja Física
284,2026-03-13,152,11,5,22.5,15.3,7.2,Débito,Delivery
285,2026-02-09,208,28,3,41.7,31.68,10.02,Pix,Loja Física
286,2025-12-17,49,22,2,85.8,64.34,21.46,Débito,Marketplace
287,2025-11-27,128,30,1,8.9,6.23,2.67,Pix,Marketplace
288,2025-11-05,137,15,4,16.8,12.08,4.72,Pix,Loja Física
289,2025-11-11,185,21,2,33.8,26.36,7.44,Crédito,Loja Física
290,2026-01-03,82,10,3,9.6,7.2,2.4,Pix,Loja Física
291,2026-02-16,152,30,2,17.8,12.46,5.34,Débito,Delivery
292,2025-10-10,79,16,4,75.6,55.2,20.4,Pix,Marketplace
293,2026-03-04,242,18,5,89.5,55.5,34.0,Débito,Delivery
294,2026-02-27,42,25,4,75.6,54.44,21.16,Dinheiro,App
295,2025-09-25,289,30,1,8.9,6.23,2.67,Crédito,Delivery
296,2026-01-30,77,18,1,17.9,11.1,6.8,Pix,Marketplace
297,2025-10-05,106,22,5,214.5,160.85,53.65,Dinheiro,Loja Física
298,2026-04-24,229,17,1,16.9,10.14,6.76,Dinheiro,Delivery
299,2026-01-15,234,14,4,34.0,22.76,11.24,Crédito,Marketplace
300,2026-02-25,158,26,1,9.9,6.93,2.97,Dinheiro,App
301,2026-04-03,112,1,3,86.7,67.62,19.08,Crédito,Loja Física
302,2025-12-23,33,12,6,16.8,10.92,5.88,Crédito,Loja Física
303,2026-05-03,17,16,2,37.8,27.6,10.2,Dinheiro,Delivery
304,2026-03-21,216,5,3,14.7,11.46,3.24,Dinheiro,Marketplace
305,2026-04-16,194,30,3,26.7,18.69,8.01,Crédito,Delivery
306,2026-02-20,179,28,1,13.9,10.56,3.34,Débito,Marketplace
307,2026-01-19,115,5,1,4.9,3.82,1.08,Crédito,App
308,2026-01-02,279,22,3,128.7,96.51,32.19,Dinheiro,Delivery
309,2025-11-08,178,15,2,8.4,6.04,2.36,Pix,Delivery
310,2026-05-03,58,29,1,6.9,4.49,2.41,Dinheiro,Loja Física
311,2025-11-06,35,7,1,5.6,4.48,1.12,Crédito,Marketplace
312,2026-02-06,25,22,1,42.9,32.17,10.73,Crédito,Marketplace
313,2025-12-27,277,8,2,19.0,13.68,5.32,Crédito,Delivery
314,2026-01-12,120,10,4,12.8,9.6,3.2,Pix,App
315,2025-11-05,74,10,6,19.2,14.4,4.8,Débito,Marketplace
316,2025-11-21,32,9,6,77.4,50.28,27.12,Débito,Marketplace
317,2026-01-26,25,16,2,37.8,27.6,10.2,Dinheiro,App
318,2026-03-03,210,14,2,17.0,11.38,5.62,Pix,Marketplace
319,2025-10-23,276,25,4,75.6,54.44,21.16,Débito,Delivery
320,2025-11-21,74,28,5,69.5,52.8,16.7,Crédito,Marketplace
321,2025-12-21,272,18,2,35.8,22.2,13.6,Dinheiro,Delivery
322,2025-11-10,170,7,1,5.6,4.48,1.12,Dinheiro,App
323,2025-09-29,98,18,1,17.9,11.1,6.8,Pix,Marketplace
324,2026-02-25,21,20,1,3.2,2.18,1.02,Débito,Delivery
325,2026-01-06,171,7,2,11.2,8.96,2.24,Crédito,Delivery
326,2026-05-03,61,7,3,16.8,13.44,3.36,Débito,Delivery
327,2025-12-16,123,30,6,53.4,37.38,16.02,Pix,App
328,2025-12-12,274,15,4,16.8,12.08,4.72,Pix,App
329,2025-12-07,255,17,5,84.5,50.7,33.8,Crédito,Marketplace
330,2026-03-19,164,27,2,25.0,17.0,8.0,Pix,App
331,2025-12-20,289,2,2,17.8,13.36,4.44,Débito,Loja Física
332,2025-11-11,300,18,6,107.4,66.6,40.8,Dinheiro,App
333,2025-10-15,169,7,2,11.2,8.96,2.24,Dinheiro,Delivery
334,2026-01-11,173,18,2,35.8,22.2,13.6,Dinheiro,Marketplace
335,2026-01-01,181,6,1,7.8,6.4,1.4,Débito,Marketplace
336,2025-10-23,278,30,1,8.9,6.23,2.67,Crédito,Loja Física
337,2026-04-03,25,22,1,42.9,32.17,10.73,Dinheiro,Delivery
338,2026-04-09,119,21,1,16.9,13.18,3.72,Débito,Loja Física
339,2025-10-31,234,17,3,50.7,30.42,20.28,Crédito,Marketplace
340,2026-02-21,9,16,1,18.9,13.8,5.1,Dinheiro,Loja Física
341,2025-09-10,141,17,5,84.5,50.7,33.8,Pix,Loja Física
342,2026-01-12,221,27,1,12.5,8.5,4.0,Crédito,Loja Física
343,2026-01-18,124,5,1,4.9,3.82,1.08,Pix,App
344,2025-11-13,204,26,1,9.9,6.93,2.97,Pix,Marketplace
345,2026-01-01,125,19,1,6.5,4.23,2.27,Pix,Loja Física
346,2026-02-20,17,28,1,13.9,10.56,3.34,Dinheiro,Marketplace
347,2025-12-11,244,18,1,17.9,11.1,6.8,Crédito,Delivery
348,2025-09-27,223,16,3,56.7,41.4,15.3,Crédito,Loja Física
349,2025-11-03,291,7,5,28.0,22.4,5.6,Pix,Loja Física
350,2026-04-30,144,3,3,15.6,12.78,2.82,Crédito,Delivery
351,2026-05-01,162,28,1,13.9,10.56,3.34,Débito,Delivery
352,2026-03-17,204,27,1,12.5,8.5,4.0,Pix,Delivery
353,2026-01-28,291,8,3,28.5,20.52,7.98,Pix,Marketplace
354,2026-03-18,72,24,1,22.9,16.03,6.87,Pix,Loja Física
355,2025-10-01,119,14,1,8.5,5.69,2.81,Pix,Marketplace
356,2026-03-23,16,11,3,13.5,9.18,4.32,Dinheiro,Marketplace
357,2025-11-03,284,12,5,14.0,9.1,4.9,Dinheiro,Delivery
358,2026-02-27,195,19,1,6.5,4.23,2.27,Pix,Delivery
359,2026-03-07,43,3,3,15.6,12.78,2.82,Débito,Marketplace
360,2026-03-07,79,26,4,39.6,27.72,11.88,Pix,App
361,2025-10-03,3,3,3,15.6,12.78,2.82,Dinheiro,App
362,2026-03-19,53,9,2,25.8,16.76,9.04,Crédito,Delivery
363,2025-12-25,286,15,6,25.2,18.12,7.08,Dinheiro,Loja Física
364,2025-09-12,182,3,5,26.0,21.3,4.7,Crédito,App
365,2026-04-15,7,13,2,29.8,20.86,8.94,Dinheiro,Marketplace
366,2026-03-24,287,3,2,10.4,8.52,1.88,Débito,Marketplace
367,2025-10-19,138,5,3,14.7,11.46,3.24,Pix,Marketplace
368,2025-10-13,86,3,4,20.8,17.04,3.76,Pix,Marketplace
369,2025-11-21,40,16,4,75.6,55.2,20.4,Pix,Delivery
370,2026-03-09,254,21,5,84.5,65.9,18.6,Débito,Marketplace
371,2025-10-03,156,5,1,4.9,3.82,1.08,Dinheiro,App
372,2026-04-09,195,20,2,6.4,4.36,2.04,Dinheiro,App
373,2025-12-25,70,27,4,50.0,34.0,16.0,Pix,Delivery
374,2026-01-06,91,11,3,13.5,9.18,4.32,Pix,App
375,2026-03-13,252,23,5,124.5,89.65,34.85,Débito,App
376,2025-12-11,202,9,4,51.6,33.52,18.08,Crédito,Delivery
377,2026-02-04,93,18,4,71.6,44.4,27.2,Crédito,Marketplace
378,2026-03-06,225,7,3,16.8,13.44,3.36,Crédito,Marketplace
